curdeep:133    curtime: 72.73499999999633ms          pathtime: 95.60140000000008ms
curdeep:134    curtime: 70.20026666666581ms          pathtime: 94.85443333333403ms
curdeep:136    curtime: 73.17016666666707ms          pathtime: 95.54496666666712ms
curdeep:137    curtime: 73.40136666666695ms          pathtime: 96.1986999999984ms
curdeep:138    curtime: 77.65323333333829ms          pathtime: 95.29479999999921ms
curdeep:140    curtime: 74.68843333332795ms          pathtime: 97.03826666666752ms
curdeep:142    curtime: 75.41690000000472ms          pathtime: 96.01019999999873ms
curdeep:144    curtime: 73.46973333333153ms          pathtime: 97.41826666666687ms
curdeep:146    curtime: 73.09326666666796ms          pathtime: 99.17529999999981ms
curdeep:148    curtime: 75.11819999999716ms          pathtime: 98.5652666666681ms
curdeep:149    curtime: 70.0869999999971ms          pathtime: 98.11770000000024ms
curdeep:150    curtime: 71.50330000000243ms          pathtime: 99.97433333333372ms
curdeep:152    curtime: 81.88666666666602ms          pathtime: 105.7217666666664ms
curdeep:153    curtime: 81.16329999999532ms          pathtime: 105.42950000000057ms
curdeep:154    curtime: 81.8348999999974ms          pathtime: 106.13773333333445ms
curdeep:155    curtime: 81.1384333333308ms          pathtime: 106.11946666666654ms
curdeep:157    curtime: 83.90920000000126ms          pathtime: 106.98756666666706ms
curdeep:158    curtime: 81.01396666666763ms          pathtime: 107.11426666666739ms
curdeep:159    curtime: 85.7985000000023ms          pathtime: 106.50309999999952ms
curdeep:161    curtime: 86.03226666666615ms          pathtime: 108.44546666666588ms
curdeep:162    curtime: 83.55070000000069ms          pathtime: 108.57949999999998ms
curdeep:163    curtime: 82.89736666666461ms          pathtime: 107.97410000000127ms
curdeep:165    curtime: 81.76886666666785ms          pathtime: 109.71566666666679ms
curdeep:166    curtime: 86.98016666666415ms          pathtime: 108.77206666666552ms
curdeep:167    curtime: 84.49086666666972ms          pathtime: 109.8763999999998ms
curdeep:170    curtime: 75.14146666666572ms          pathtime: 110.42463333333406ms
curdeep:171    curtime: 74.89550000000236ms          pathtime: 111.2323333333336ms
curdeep:172    curtime: 76.83183333332788ms          pathtime: 109.97276666666663ms
curdeep:174    curtime: 77.56963333332958ms          pathtime: 110.72916666666684ms
curdeep:175    curtime: 76.5863999999965ms          pathtime: 110.98173333333345ms
curdeep:176    curtime: 77.57103333333362ms          pathtime: 112.15140000000001ms
curdeep:178    curtime: 77.65146666666472ms          pathtime: 112.78916666666704ms
curdeep:180    curtime: 90.77043333333374ms          pathtime: 116.62260000000042ms
curdeep:181    curtime: 86.35823333333217ms          pathtime: 115.58719999999975ms
curdeep:182    curtime: 76.00719999999608ms          pathtime: 112.92703333333331ms
curdeep:184    curtime: 76.00496666667216ms          pathtime: 113.20979999999945ms
curdeep:185    curtime: 77.16340000000248ms          pathtime: 118.75869999999983ms
curdeep:186    curtime: 81.41786666666728ms          pathtime: 111.18806666666596ms
curdeep:188    curtime: 77.79206666666596ms          pathtime: 115.1267333333332ms
curdeep:189    curtime: 77.54303333332852ms          pathtime: 117.95313333333297ms
curdeep:190    curtime: 71.20910000000246ms          pathtime: 114.02306666666627ms
curdeep:192    curtime: 71.82493333333848ms          pathtime: 110.58689999999984ms
curdeep:193    curtime: 75.38940000000214ms          pathtime: 113.87440000000028ms
curdeep:195    curtime: 75.23456666666941ms          pathtime: 107.06756666666688ms
curdeep:196    curtime: 81.78450000000339ms          pathtime: 109.99486666666674ms
curdeep:197    curtime: 79.19276666667277ms          pathtime: 111.44283333333338ms
