curdeep:3    curtime: 2.555166666666745ms          pathtime: 1.411733333331237ms
curdeep:4    curtime: 3.899733333333207ms          pathtime: 2.053833333335812ms
curdeep:7    curtime: 5.366833333333432ms          pathtime: 3.0145333333393864ms
curdeep:9    curtime: 5.638099999999706ms          pathtime: 2.9821999999967375ms
curdeep:12    curtime: 4.489766666666621ms          pathtime: 3.31303333333229ms
curdeep:14    curtime: 10.519333333333236ms          pathtime: 5.213833333330816ms
curdeep:15    curtime: 11.005933333332981ms          pathtime: 5.845633333334869ms
curdeep:18    curtime: 12.388133333333448ms          pathtime: 7.025333333338797ms
curdeep:20    curtime: 12.984199999999646ms          pathtime: 6.800966666666379ms
curdeep:25    curtime: 12.453866666666613ms          pathtime: 10.607166666666975ms
curdeep:26    curtime: 13.567533333333396ms          pathtime: 11.71473333333779ms
curdeep:29    curtime: 16.56496666666669ms          pathtime: 13.559200000001207ms
curdeep:31    curtime: 17.020800000000236ms          pathtime: 12.921099999994112ms
curdeep:37    curtime: 14.14069999999962ms          pathtime: 15.690933333333609ms
curdeep:38    curtime: 14.236066666666147ms          pathtime: 16.381400000000212ms
curdeep:39    curtime: 15.044333333332816ms          pathtime: 16.680833333331673ms
curdeep:41    curtime: 15.20026666666657ms          pathtime: 16.13363333333382ms
curdeep:44    curtime: 15.40879999999826ms          pathtime: 16.95686666666158ms
curdeep:46    curtime: 20.869966666665125ms          pathtime: 19.515499999996184ms
curdeep:47    curtime: 20.772233333334118ms          pathtime: 19.865633333332273ms
curdeep:50    curtime: 22.759133333333164ms          pathtime: 20.967799999993986ms
curdeep:52    curtime: 22.35333333333453ms          pathtime: 20.37029999999807ms
curdeep:58    curtime: 17.594066666667157ms          pathtime: 22.43753333333795ms
curdeep:59    curtime: 17.413333333333487ms          pathtime: 22.744299999999384ms
curdeep:61    curtime: 16.936666666667104ms          pathtime: 22.32133333333574ms
curdeep:62    curtime: 17.958933333333487ms          pathtime: 23.113866666661426ms
curdeep:63    curtime: 20.5853999999988ms          pathtime: 22.691966666661756ms
curdeep:65    curtime: 19.05223333333197ms          pathtime: 23.717233333331933ms
curdeep:66    curtime: 17.792800000000852ms          pathtime: 23.594199999994697ms
curdeep:67    curtime: 17.61633333333445ms          pathtime: 22.327800000001236ms
curdeep:69    curtime: 20.49480000000017ms          pathtime: 24.319866666663376ms
curdeep:70    curtime: 18.175566666667464ms          pathtime: 23.0071999999988ms
curdeep:71    curtime: 18.547733333332417ms          pathtime: 23.0638666666664ms
curdeep:73    curtime: 33.5550666666677ms          pathtime: 28.26956666666926ms
curdeep:75    curtime: 29.821733333335487ms          pathtime: 30.425333333338738ms
curdeep:77    curtime: 21.407399999998233ms          pathtime: 30.729233333333166ms
curdeep:81    curtime: 21.359400000001944ms          pathtime: 30.64119999999851ms
curdeep:82    curtime: 22.566266666664585ms          pathtime: 30.570000000003954ms
curdeep:83    curtime: 25.306433333332734ms          pathtime: 30.639899999998004ms
curdeep:85    curtime: 41.85749999999947ms          pathtime: 34.7843333333382ms
curdeep:87    curtime: 33.68793333333618ms          pathtime: 38.14879999999903ms
curdeep:88    curtime: 28.175133333331814ms          pathtime: 37.68063333333581ms
curdeep:89    curtime: 32.57536666666662ms          pathtime: 38.470199999998535ms
curdeep:91    curtime: 33.14423333333328ms          pathtime: 38.544633333329635ms
curdeep:94    curtime: 29.775266666664873ms          pathtime: 37.43616666666488ms
curdeep:96    curtime: 46.556400000001ms          pathtime: 41.53779999999946ms
curdeep:97    curtime: 43.66883333333362ms          pathtime: 44.32083333332836ms
curdeep:101    curtime: 43.57760000000326ms          pathtime: 45.87423333333239ms
curdeep:103    curtime: 40.714600000001155ms          pathtime: 47.031233333336786ms
curdeep:104    curtime: 37.688566666668066ms          pathtime: 47.06696666666327ms
curdeep:107    curtime: 37.542799999998046ms          pathtime: 47.867599999995036ms
curdeep:109    curtime: 37.58736666666588ms          pathtime: 47.14493333333394ms
curdeep:111    curtime: 38.35786666666839ms          pathtime: 48.106433333327914ms
curdeep:112    curtime: 38.31276666666478ms          pathtime: 47.486899999997455ms
curdeep:113    curtime: 41.16620000000163ms          pathtime: 47.846000000004096ms
curdeep:115    curtime: 51.000966666667104ms          pathtime: 50.95070000000609ms
curdeep:117    curtime: 47.16956666666571ms          pathtime: 53.44600000000052ms
curdeep:118    curtime: 43.47880000000259ms          pathtime: 52.68143333333531ms
curdeep:119    curtime: 47.44140000000243ms          pathtime: 53.72853333333296ms
curdeep:121    curtime: 47.53436666666554ms          pathtime: 53.24073333333672ms
curdeep:125    curtime: 48.72943333333145ms          pathtime: 53.12063333333299ms
curdeep:127    curtime: 59.016666666665664ms          pathtime: 58.13196666666348ms
curdeep:128    curtime: 55.72666666666919ms          pathtime: 57.82450000000002ms
curdeep:129    curtime: 56.14900000000489ms          pathtime: 57.88136666666711ms
curdeep:132    curtime: 49.98906666666395ms          pathtime: 57.90846666666312ms
curdeep:134    curtime: 50.050566666664054ms          pathtime: 58.838633333334656ms
curdeep:137    curtime: 49.0491666666685ms          pathtime: 56.981433333332156ms
curdeep:139    curtime: 51.19190000000344ms          pathtime: 59.393833333335046ms
curdeep:140    curtime: 47.45953333333546ms          pathtime: 58.99956666666336ms
curdeep:141    curtime: 53.193333333335126ms          pathtime: 58.45563333333151ms
curdeep:143    curtime: 50.846533333333355ms          pathtime: 58.906766666670286ms
curdeep:146    curtime: 50.94976666666753ms          pathtime: 58.73476666666496ms
curdeep:148    curtime: 51.56183333333502ms          pathtime: 60.493299999999785ms
curdeep:149    curtime: 53.46126666666654ms          pathtime: 59.122466666667606ms
curdeep:152    curtime: 54.69633333332998ms          pathtime: 59.2600333333318ms
curdeep:154    curtime: 52.99003333333682ms          pathtime: 59.22649999999976ms
curdeep:157    curtime: 48.75866666667056ms          pathtime: 57.91569999999714ms
curdeep:159    curtime: 66.83590000000095ms          pathtime: 63.89306666666622ms
curdeep:160    curtime: 61.78386666666332ms          pathtime: 64.10733333333003ms
curdeep:161    curtime: 59.504833333327646ms          pathtime: 63.72969999999896ms
curdeep:164    curtime: 51.77026666666885ms          pathtime: 64.47486666666767ms
curdeep:165    curtime: 53.50689999999455ms          pathtime: 64.18069999999716ms
curdeep:167    curtime: 57.486966666670014ms          pathtime: 64.88129999999425ms
curdeep:168    curtime: 54.72663333333306ms          pathtime: 65.25446666666237ms
