curdeep:172    curtime: 38.51509999999507ms          pathtime: 30.863066666665873ms
curdeep:173    curtime: 31.347433333333658ms          pathtime: 31.020966666665117ms
curdeep:174    curtime: 28.495833333333092ms          pathtime: 30.901433333330413ms
curdeep:175    curtime: 29.237333333329236ms          pathtime: 30.965799999997518ms
curdeep:177    curtime: 30.596866666671ms          pathtime: 30.634733333333013ms
curdeep:180    curtime: 32.452633333339996ms          pathtime: 30.952500000000782ms
curdeep:182    curtime: 28.89509999999973ms          pathtime: 31.37179999999944ms
curdeep:183    curtime: 28.112700000004526ms          pathtime: 31.204700000000685ms
curdeep:185    curtime: 32.35486666666626ms          pathtime: 30.229000000000877ms
curdeep:186    curtime: 28.885333333338775ms          pathtime: 31.26320000000078ms
curdeep:187    curtime: 33.457066666665014ms          pathtime: 31.596999999999298ms
curdeep:189    curtime: 30.680499999994026ms          pathtime: 31.622566666665836ms
curdeep:190    curtime: 33.884466666669745ms          pathtime: 31.76686666666531ms
curdeep:191    curtime: 31.97893333333468ms          pathtime: 31.740800000000036ms
curdeep:193    curtime: 29.57659999999578ms          pathtime: 31.887666666667275ms
curdeep:195    curtime: 31.34739999999662ms          pathtime: 31.682066666663406ms
curdeep:196    curtime: 30.150466666661185ms          pathtime: 31.660299999998642ms
curdeep:197    curtime: 31.60533333333812ms          pathtime: 31.30826666666735ms
curdeep:199    curtime: 29.198833333331702ms          pathtime: 32.08120000000084ms
curdeep:200    curtime: 32.102633333336904ms          pathtime: 31.86946666666775ms
curdeep:201    curtime: 32.29616666666667ms          pathtime: 31.419500000000273ms
curdeep:203    curtime: 31.493166666662848ms          pathtime: 32.45210000000043ms
curdeep:204    curtime: 30.638266666665004ms          pathtime: 32.622333333332186ms
curdeep:205    curtime: 30.056633333326015ms          pathtime: 31.93233333333107ms
curdeep:207    curtime: 37.20726666667057ms          pathtime: 31.36100000000018ms
curdeep:210    curtime: 32.22330000000208ms          pathtime: 32.440100000000406ms
curdeep:212    curtime: 36.91216666666909ms          pathtime: 33.387300000000174ms
curdeep:213    curtime: 31.353166666667676ms          pathtime: 34.62950000000168ms
curdeep:214    curtime: 32.58299999999963ms          pathtime: 34.92153333333666ms
curdeep:215    curtime: 33.94613333333988ms          pathtime: 34.549366666666025ms
curdeep:217    curtime: 34.28259999999833ms          pathtime: 34.43906666666786ms
curdeep:223    curtime: 32.90786666666463ms          pathtime: 34.9901333333302ms
curdeep:226    curtime: 33.364733333337426ms          pathtime: 34.75010000000035ms
curdeep:228    curtime: 34.72183333333305ms          pathtime: 35.06600000000238ms
curdeep:229    curtime: 33.52593333333213ms          pathtime: 34.802799999999934ms
curdeep:231    curtime: 43.78703333333457ms          pathtime: 34.59503333333487ms
curdeep:232    curtime: 33.22723333333973ms          pathtime: 35.24993333333365ms
curdeep:233    curtime: 33.506466666669134ms          pathtime: 35.215033333330815ms
curdeep:235    curtime: 34.35810000000098ms          pathtime: 35.03323333333128ms
curdeep:236    curtime: 31.14703333333182ms          pathtime: 35.35469999999729ms
curdeep:238    curtime: 33.069700000002435ms          pathtime: 35.48223333333075ms
curdeep:239    curtime: 36.08166666666269ms          pathtime: 35.70286666666789ms
curdeep:240    curtime: 39.228833333330236ms          pathtime: 35.35156666666808ms
curdeep:242    curtime: 34.05223333333348ms          pathtime: 36.04069999999714ms
curdeep:243    curtime: 35.166400000002795ms          pathtime: 35.969900000001566ms
curdeep:244    curtime: 35.797999999999774ms          pathtime: 35.58379999999867ms
curdeep:246    curtime: 34.39140000000407ms          pathtime: 35.92109999999972ms
curdeep:249    curtime: 36.96266666666664ms          pathtime: 35.947566666667775ms
curdeep:251    curtime: 37.75763333333089ms          pathtime: 37.271800000000134ms
curdeep:252    curtime: 39.0432333333365ms          pathtime: 38.45726666666754ms
curdeep:253    curtime: 36.77829999999934ms          pathtime: 38.266299999997955ms
curdeep:254    curtime: 38.339433333324756ms          pathtime: 38.178133333334095ms
curdeep:256    curtime: 39.54740000000735ms          pathtime: 38.38996666666693ms
curdeep:257    curtime: 39.42260000000412ms          pathtime: 38.039266666665604ms
curdeep:258    curtime: 42.26790000000923ms          pathtime: 38.20596666666537ms
curdeep:260    curtime: 35.163700000005825ms          pathtime: 39.16440000000042ms
curdeep:261    curtime: 38.88919999999416ms          pathtime: 39.18709999999995ms
curdeep:262    curtime: 40.077933333335146ms          pathtime: 39.17066666666642ms
curdeep:264    curtime: 44.926133333334896ms          pathtime: 42.48336666666622ms
curdeep:265    curtime: 43.7492666666761ms          pathtime: 42.47683333333422ms
curdeep:266    curtime: 45.85279999999633ms          pathtime: 42.156566666665185ms
curdeep:269    curtime: 40.99219999999756ms          pathtime: 42.58073333333338ms
curdeep:271    curtime: 39.340499999995394ms          pathtime: 42.48266666666799ms
curdeep:273    curtime: 40.919266666666466ms          pathtime: 42.14196666666415ms
